Input Term || Normalized Term || Normalized OBT || True Normalized Term || True Normalized OBT
Cloacal swabs of partridges || nutrient broth || 000360 || rectal swab || 001737
Cloacal || nutrient broth || 000360 || cloaca || 001488
partridges || partridge || 003066 || livestock || 002726
male birds || broiler chicken || 003334 || male animal || 001192
female birds || broiler chicken || 003334 || livestock || 002726
game bird || nutrient broth || 000360 || bird || 001446
game bird farm || fish farm || 000630 || animal farm || 000194
cloacal swabs || nutrient broth || 000360 || rectal swab || 001737
Adult partridges || nutrient broth || 000360 || adult animal || 001395
younger ones || infant || 003263 || young animal || 001849
game birds || broiler chicken || 003334 || bird || 001446
commercially reared partridges || nutrient broth || 000360 || partridge || 003066
Neutrophils || nutrient broth || 000360 || neutrophil || 003004
human innate immune system || immune system || 000321 || innate immune system || 000686
polymorphonuclear leukocytes || leukocyte || 000706 || granulocyte || 001134
PMNs || nutrient broth || 000360 || granulocyte || 001134
murine macrophages || murine || 002530 || macrophage || 002995
murine dendritic cells || murine || 002530 || dendritic cell || 002785
human monocyte-derived macrophages || human || 002488 || macrophage || 002995
HMDM || human || 002488 || macrophage || 002995
HMDMs || nutrient broth || 000360 || macrophage || 002995
human neutrophils || human || 002488 || neutrophil || 003004
PMN || nutrient broth || 000360 || granulocyte || 001134
PMN || nutrient broth || 000360 || granulocyte || 001134
human PMNs || human || 002488 || granulocyte || 001134
cell || cell || 000061 || leukocyte || 000706
PMN || nutrient broth || 000360 || granulocyte || 001134
PMN || nutrient broth || 000360 || granulocyte || 001134
PMN cell || cell || 000061 || granulocyte || 001134
human neutrophils || human || 002488 || neutrophil || 003004
PMN || nutrient broth || 000360 || granulocyte || 001134
PMN cell || cell || 000061 || granulocyte || 001134
PMN || nutrient broth || 000360 || granulocyte || 001134
PMN || nutrient broth || 000360 || granulocyte || 001134
probiotic fermented milk beverage || milk || 001645 || probiotic food || 001269
soft stools || soft cheese || 003459 || feces || 001102
fermented milk beverage || milk || 001645 || fermented milk || 003146
bottle || bottle || 001456 || fermented milk || 003146
probiotics || probiotic || 000827 || probiotic food || 001269
bottle || bottle || 001456 || fermented milk || 003146
soft stools || soft cheese || 003459 || feces || 001102
healthy adults || adult human || 003245 || healthy person || 002712
soft stools || soft cheese || 003459 || feces || 001102
probiotics || probiotic || 000827 || probiotic food || 001269
probiotic || probiotic || 000827 || probiotic food || 001269
water content of the stools || water || 000468 || body fluid || 000215
stools || nutrient broth || 000360 || feces || 001102
probiotic || probiotic || 000827 || probiotic food || 001269
probiotic group || nutrient broth || 000360 || adult human || 003245
placebo group || nutrient broth || 000360 || adult human || 003245
probiotic || probiotic || 000827 || probiotic food || 001269
stools || nutrient broth || 000360 || feces || 001102
probiotics || probiotic || 000827 || probiotic food || 001269
probiotic groups || nutrient broth || 000360 || adult human || 003245
probiotic || probiotic || 000827 || probiotic food || 001269
placebo groups || nutrient broth || 000360 || adult human || 003245
probiotic fermented milk beverage || milk || 001645 || probiotic food || 001269
healthy individuals with soft stool || feces || 001102 || healthy person || 002712
perianal || nutrient broth || 000360 || anus || 000988
perianal ulceration || nutrient broth || 000360 || ulcer || 000933
HIV-positive men who have sex with men || immunodeficient person || 003206 || ill person || 003156
men || nutrient broth || 000360 || man || 003451
MSM || nutrient broth || 000360 || man || 003451
Patients || patient || 003220 || man || 003451
rectal || nutrient broth || 000360 || rectum || 001738
MSM attending sexually transmitted infection clinics || child || 003188 || man || 003451
sexually transmitted infection clinics || patient with infectious disease || 003269 || clinic || 002694
anorectal || nutrient broth || 000360 || anus || 000988
HIV-infected patients presenting with isolated perianal ulcer disease || elderly person || 003285 || man || 003451
perianal ulcer || duodenal ulcer || 001533 || ulcer || 000933
perianal || nutrient broth || 000360 || anus || 000988
rectal || nutrient broth || 000360 || rectum || 001738
MSM with proctitis || nutrient broth || 000360 || man || 003451
MSM with perianal ulcer disease || duodenal ulcer || 001533 || man || 003451
perianal || nutrient broth || 000360 || anus || 000988
perianal ulcer || duodenal ulcer || 001533 || ulcer || 000933
female mouse model of genital tract chlamydia infection || genital tract || 000643 || female animal || 001103
oviduct || nutrient broth || 000360 || urogenital tract part || 000463
mucosal || nutrient broth || 000360 || mucosal tissue || 001218
mice || mouse || 002727 || laboratory mice || 003211
intranasal || nutrient broth || 000360 || nose || 000767
mice || mouse || 002727 || female animal || 001103
T-cells || nutrient broth || 000360 || lymphocyte || 001623
mucosal || nutrient broth || 000360 || mucosal tissue || 001218
world's oceans || nutrient broth || 000360 || marine water || 003105
marine organisms || marine environment || 000338 || living organism || 000010
Penicillium-sensitive atopic sera || nutrient broth || 000360 || experimental medium || 000007
mice || mouse || 002727 || laboratory mice || 003211
aerosolized || nutrient broth || 000360 || aerosol || 000030
mice || mouse || 002727 || laboratory mice || 003211
human macrophages || human || 002488 || macrophage || 002995
natural fermented koumiss || fermented milk || 003146 || kumis || 003210
cellophane membrane disks || nutrient broth || 000360 || laboratory equipment || 000103
urine of leprosy patients || elderly person || 003285 || urine || 001367
leprosy patients || elderly person || 003285 || patient with infectious disease || 003269
urine of leprosy patients || elderly person || 003285 || urine || 001367
leprosy patients || elderly person || 003285 || patient with infectious disease || 003269
urine of LL patients || elderly person || 003285 || urine || 001367
LL patients || elderly person || 003285 || patient with infectious disease || 003269
nitrocellulose paper || nutrient broth || 000360 || experimental medium || 000007
urine of LL patients || elderly person || 003285 || urine || 001367
LL patients || elderly person || 003285 || patient with infectious disease || 003269
pulmonary || nutrient broth || 000360 || lung || 000716
Tuberculosis Reference Laboratory || nutrient broth || 000360 || laboratory || 001169
pulmonary || nutrient broth || 000360 || lung || 000716
superficial abscesses || nutrient broth || 000360 || abscess || 000476
sera from patients with different clinical spectra and with other infections || patient with infectious disease || 003269 || blood serum || 000524
sera from patients with melioidosis || elderly person || 003285 || blood serum || 000524
patients with melioidosis || elderly person || 003285 || patient with infectious disease || 003269
hyperimmune mouse || nutrient broth || 000360 || laboratory mice || 003211
hyperimmune mouse sera || nutrient broth || 000360 || blood serum || 000524
vacuum- packed cold-smoked salmon stored at 5 degrees C || cell || 000061 || cooled food || 001500
modified-atmosphere-packed cold-smoked salmon stored at 5 degrees C || cell || 000061 || modified-atmosphere-packed food || 002140
spoiled cold-smoked salmon || nutrient broth || 000360 || spoiled food || 000430
vacuum-packed cold-smoked salmon || nutrient broth || 000360 || vacuum-packed food || 002300
vacuum packages || nutrient broth || 000360 || vacuum-packed food || 002300
vacuum-packed salmon || nutrient broth || 000360 || vacuum-packed food || 002300
cold-smoked salmon stored at 5 degrees C || cell || 000061 || cooled food || 001500
salmon || salmon || 003021 || salmon meat || 002593
patients with active duodenal ulcer disease and H pylori infection || patient || 003220 || patient with infectious disease || 003269
ulcer || ulcer || 000933 || duodenal ulcer || 001533
patients || patient || 003220 || patient with infectious disease || 003269
patients || patient || 003220 || patient with infectious disease || 003269
patients || patient || 003220 || patient with infectious disease || 003269
patients with PPI-based triple therapy || elderly person || 003285 || patient with infectious disease || 003269
patients with bismuth-based triple therapy || elderly person || 003285 || patient with infectious disease || 003269
patients || patient || 003220 || patient with infectious disease || 003269
semi-hard cheeses || cheese || 001480 || semi soft cheese || 003458
Maasdammer || nutrient broth || 000360 || semi soft cheese || 003458
Swiss-type cheeses || cheese || 001480 || ripened cheese || 003428
yoghurts || nutrient broth || 000360 || yogurt || 003241
Gorgonzola cheeses || cheese || 001480 || Gorgonzola || 003504
Taleggio cheeses || cheese || 001480 || Taleggio || 003525
Formaggio di Fossa cheeses || cheese || 001480 || Formaggio di Fossa || 003473
Casera || nutrient broth || 000360 || Valtellina Casera || 003483
Casera || nutrient broth || 000360 || Valtellina Casera || 003483
Casera cheese || cheese || 001480 || Valtellina Casera || 003483
Casera cheeses || cheese || 001480 || Valtellina Casera || 003483
Gorgonzola cheeses || cheese || 001480 || Gorgonzola || 003504
Casera || nutrient broth || 000360 || Valtellina Casera || 003483
Casera cheese || cheese || 001480 || Valtellina Casera || 003483
Formaggio di Fossa cheeses || cheese || 001480 || Formaggio di Fossa || 003473
Scimudin cheeses || cheese || 001480 || Scimudin || 003522
Casera cheese || cheese || 001480 || Valtellina Casera || 003483
SB || small intestine || 003303 || agar || 000031
Casera cheeses || cheese || 001480 || Valtellina Casera || 003483
Taleggio cheeses || cheese || 001480 || Taleggio || 003525
Gorgonzola cheeses || cheese || 001480 || Gorgonzola || 003504
Scimudin cheeses || cheese || 001480 || Scimudin || 003522
Gorgonzola surfaces || surface of food || 000902 || surface of cheese || 001341
Scimudin surfaces || surface of food || 000902 || surface of cheese || 001341
Taleggio surfaces || surface of food || 000902 || surface of cheese || 001341
Casera || nutrient broth || 000360 || Valtellina Casera || 003483
Scimudin cheese || cheese || 001480 || Scimudin || 003522
Taleggio cheeses || cheese || 001480 || Taleggio || 003525
Scimudin cheeses || cheese || 001480 || Scimudin || 003522
Gorgonzola cheese || cheese || 001480 || Gorgonzola || 003504
Taleggio cheeses || cheese || 001480 || Taleggio || 003525
Casera cheeses || cheese || 001480 || Valtellina Casera || 003483
Scimudin cheeses || cheese || 001480 || Scimudin || 003522
Taleggio cheeses || cheese || 001480 || Taleggio || 003525
Scimudin cheeses || cheese || 001480 || Scimudin || 003522
Casera cheeses || cheese || 001480 || Valtellina Casera || 003483
Gorgonzola cheeses || cheese || 001480 || Gorgonzola || 003504
Formaggio di Fossa cheeses || cheese || 001480 || Formaggio di Fossa || 003473
Gorgonzola cheeses || cheese || 001480 || Gorgonzola || 003504
Taleggio  cheeses || cheese || 001480 || Taleggio || 003525
white mould rind || nutrient broth || 000360 || cheese rind || 001481
Scimudin cheese || cheese || 001480 || Scimudin || 003522
Casera Valtellina || nutrient broth || 000360 || Valtellina Casera || 003483
rind || nutrient broth || 000360 || cheese rind || 001481
Casera cheese || cheese || 001480 || Valtellina Casera || 003483
Gorgonzola cheese || cheese || 001480 || Gorgonzola || 003504
Scimudin cheese || cheese || 001480 || Scimudin || 003522
rind of Gorgonzola cheeses || cheese || 001480 || cheese rind || 001481
rind of Scimudin cheeses || cheese || 001480 || cheese rind || 001481
Gorgonzola cheeses || cheese || 001480 || Gorgonzola || 003504
Scimudin cheeses || cheese || 001480 || Scimudin || 003522
Gobbeen cheese || cheese || 001480 || Gubbeen || 003505
Fontina cheese || cheese || 001480 || Fontina || 003472
Gorgonzola rind || nutrient broth || 000360 || cheese rind || 001481
Taleggio rind || nutrient broth || 000360 || cheese rind || 001481
surface of Gorgonzola cheeses || cheese || 001480 || surface of cheese || 001341
surface of Scimudin cheeses || cheese || 001480 || surface of cheese || 001341
Gorgonzola cheeses || cheese || 001480 || Gorgonzola || 003504
Scimudin cheeses || cheese || 001480 || Scimudin || 003522
Formaggio di Fossa cheese || cheese || 001480 || Formaggio di Fossa || 003473
fermented fish || fish meat and fish meat product || 001549 || fermented fish product || 003145
Scimudin surfaces || surface of food || 000902 || surface of cheese || 001341
Gorgonzola surfaces || surface of food || 000902 || surface of cheese || 001341
Fontina rind || nutrient broth || 000360 || cheese rind || 001481
Formaggio di  Fossa cheese || cheese || 001480 || Formaggio di Fossa || 003473
community || community || 002697 || microflora || 000113
food || food || 000008 || food for human || 000094
cheese communities || cheese || 001480 || microflora || 000113
dry natural rinds || dried food || 001526 || cheese rind || 001481
community || community || 002697 || microflora || 000113
community || community || 002697 || microflora || 000113
community || community || 002697 || microflora || 000113
